Description,Replace,ID,Str
시작 씬 로딩 텍스트,0,START_SM_LOADING_TEXT,Loading...
종료 팝업 메세지,0,QUIT_P_MSG,게임을 종료하시겠습니까?
그만두기 팝업 메세지,0,LEAVE_P_MSG,게임을 그만두시겠습니까?
업데이트 팝업 메세지,0,UPDATE_P_MSG,새로운 버전이 출시되었습니다.\n업데이트 하시겠습니까?
로드 팝업 메세지,0,LOAD_P_MSG,진행 상황을 로드하시겠습니까?\n<color=#ff0000ff><size=24>(로드 시 현재 진행 상황은 복구 할 수 없습니다)</size></color>
저장 팝업 메세지,0,SAVE_P_MSG,진행 상황을 저장하시겠습니까?\n<color=#ff0000ff><size=24>(저장 시 이전 진행 상황은 복구 할 수 없습니다)</size></color>
추적 설명 팝업 타이틀,0,TRACKING_DP_TITLE,알림
추적 설명 팝업 메세지,0,TRACKING_DP_MSG,다음 화면에서\n추적 허용
추적 설명 팝업 설명 메세지 1,0,TRACKING_DP_DESC_MSG_01,- 특별한 프로모션을 제공해\n드립니다
추적 설명 팝업 설명 메세지 2,0,TRACKING_DP_DESC_MSG_02,- 관심사에 맞는 광고를 보여\n드립니다
추적 설명 팝업 설명 메세지 3,0,TRACKING_DP_DESC_MSG_03,- 개인화 된 경험을 향상 시켜\n드립니다
공용 A 세트 텍스트,0,C_A_SET_TEXT,A Set
공용 B 세트 텍스트,0,C_B_SET_TEXT,B Set
공용 확인 텍스트,0,C_OK_TEXT,확인
공용 취소 텍스트,0,C_CANCEL_TEXT,취소
공용 동의 텍스트,0,C_AGREE_TEXT,동의
공용 결과 텍스트,0,C_RESULT_TEXT,결과
공용 획득 텍스트,0,C_GET_TEXT,획득
공용 상점 텍스트,0,C_STORE_TEXT,상점
공용 이벤트 텍스트,0,C_EVENT_TEXT,이벤트
공용 다음 텍스트,0,C_NEXT_TEXT,다음
공용 홈 텍스트,0,C_HOME_TEXT,홈
공용 플레이 텍스트,0,C_PLAY_TEXT,플레이
공용 재시도 텍스트,0,C_RETRY_TEXT,재시도
공용 나가기 텍스트,0,C_LEAVE_TEXT,나가기
공용 동기화 텍스트,0,C_SYNC_TEXT,동기화
공용 로그인 텍스트,0,C_LOGIN_TEXT,로그인
공용 애플 로그인 텍스트,0,C_APPLE_LOGIN_TEXT,애플 로그인
공용 페이스 북 로그인,0,C_FACEBOOK_LOGIN_TEXT,페이스 북 로그인
공용 로그아웃 텍스트,0,C_LOGOUT_TEXT,로그아웃
